	wt_d1._vs_TET3KO_d1._CI.L	wt_d1._vs_TET3KO_d1._CI.R	wt_d1._vs_TET3KO_d1._diff	wt_d1._vs_TET3KO_d1._p.adj	wt_d1._vs_TET3KO_d1._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description
ABHD12	-0.246973145067092	0.712232173878352	0.23262951440563	0.753586804924094	0.334004968425264	Q8N2K0	Q8N2K0;Q5T712	ABD12_HUMAN	Lysophosphatidylserine lipase ABHD12
ABHD13	-8.43118821883177	6.97076093802662	-0.730213640402575	0.852814999003482	0.849473944685056	Q7L211	Q7L211	ABHDD_HUMAN	Protein ABHD13
ABHD14A	-0.388530597479057	0.388530597479058	4.44089209850063e-16	0.867205531394704	0.999999999999998	Q9BUJ0	Q9BUJ0;K7N7A0	ABHEA_HUMAN	Protein ABHD14A
ABHD14B	-7.07624583251708	3.85841064228434	-1.60891759511637	0.811663580172045	0.556521391715449	Q96IU4	Q96IU4;F8W9U3;B4DQI4	ABHEB_HUMAN	Protein ABHD14B
ABHD15	0.965923566478254	6.60081219432855	3.7833678804034	0.225808558453637	0.0095946888655664	Q6UXT9	Q6UXT9	ABH15_HUMAN	Protein ABHD15
ABHD16A	-0.701967264012669	0.684126292890713	-0.0089204855609779	0.865413428669412	0.979442493532362	O95870	O95870;A0A0G2JJD3	ABHGA_HUMAN	Phosphatidylserine lipase ABHD16A
ABHD17A	-0.791549496936502	0.350408525989001	-0.22057048547375	0.786330402205487	0.440800279826387	Q96GS6	Q96GS6;Q6PCB6;K7EQ25;K7ENJ6	AB17A_HUMAN	Alpha/beta hydrolase domain-containing protein 17A
ABHD17B	-0.583562334453457	1.51952136333081	0.467979514438674	0.767601158487327	0.375018261741745	Q5VST6	Q5VST6	AB17B_HUMAN	Alpha/beta hydrolase domain-containing protein 17B
ABHD18	-4.84826474611328	3.68637377470753	-0.580945485702873	0.845609612192054	0.785290094145352	A0A2R8YEZ0;B7WP89	B7WP89;A0A2R8YEZ0	A0A2R8YEZ0_HUMAN;B7WP89_HUMAN	Protein ABHD18
ABHD3	-1.03129702440892	1.11020605348168	0.0394545145363772	0.861945341385806	0.941197543639293	Q8WU67	Q8WU67;J3KTE1	ABHD3_HUMAN	Phospholipase ABHD3
ABHD4	-4.630237825144	3.42974685421466	-0.600245485464669	0.843249322344254	0.765676423685808	Q8TB40	Q8TB40	ABHD4_HUMAN	(Lyso)-N-acylphosphatidylethanolamine lipase
ABHD5	-1.71354356040302	0.349102589574377	-0.682220485414323	0.678134256250183	0.18957932320326	Q8WTS1	Q8WTS1;A0A2R8YG22;C9J1D1	ABHD5_HUMAN	1-acylglycerol-3-phosphate O-acyltransferase ABHD5
ABHD6	-3.06541149833788	2.97512702858468	-0.0451422348766002	0.865120028758956	0.976129331063541	Q9BV23	Q9BV23	ABHD6_HUMAN	Monoacylglycerol lipase ABHD6
ABI1	-0.18895625713442	0.556715286130219	0.1838795144979	0.750602051389884	0.326034437652981	Q8IZP0	Q9NYB9;Q8IZP0;E9PEZ7;A0A0A0MRT6;A0A0C4DG21;B6VEX4;F8WAL6;B7Z836;H0Y6B5;E7EP65;E7EW77	ABI1_HUMAN	Abl interactor 1
ABI2	-1.36328220765797	0.0805412363706618	-0.641370485643652	0.54585234432125	0.0803121440210673	Q9NYB9	Q9NYB9;H7C3Q7;A0A0C4DG21;F8WAL6;B7Z836;H0Y6B5;E7EP65;E7EW77	ABI2_HUMAN	Abl interactor 2
ABL1	-0.891904587780433	-0.232186382904172	-0.562045485342303	0.0715456857064625	0.001284820607894	P00519	P00519	ABL1_HUMAN	Tyrosine-protein kinase ABL1
ABL2	0.0010107206905903	1.18709830832546	0.594054514508027	0.46705657934918	0.0496267430408132	P42684	P42684	ABL2_HUMAN	Tyrosine-protein kinase ABL2
ABLIM1	-2.20923292115631	3.50592020076667	0.648343639805177	0.827471350970098	0.650042818518954	O14639	O14639;F8W8M4;J3QSX6;F6XFR5;A0A494C1G0;A0A0A0MRL6;A0A3B3IS55;A0A494C1P1;H0Y7N6	ABLM1_HUMAN	Actin-binding LIM protein 1
ABR	-1.00095937307345	0.377018402244102	-0.311970485414673	0.764967247760811	0.366827587675791	Q12979	Q12979;A0A0G2JQ41;B7Z683;A0A1C7CYZ0;I3NI05	ABR_HUMAN	Active breakpoint cluster region-related protein
ABRACL	-0.263156708270159	1.55761573765822	0.647229514694033	0.652698925329075	0.159178970373564	Q9P1F3	Q9P1F3;Q5SZC9	ABRAL_HUMAN	Costars family protein ABRACL
ABRAXAS1	-3.89375651087152	3.89375651087152	6.66133814775094e-16	0.867205531394704	1.0	Q6UWZ7	Q6UWZ7;A0A087WWJ9;D6REL5;A0A087WZ78	ABRX1_HUMAN	BRCA1-A complex subunit Abraxas 1
ABRAXAS2	-1.33255851713571	-0.0913824537407865	-0.711970485438247	0.360378887597562	0.0254688055137902	Q15018	Q15018	ABRX2_HUMAN	BRISC complex subunit Abraxas 2
ABT1	-0.516568116477777	0.135677145500131	-0.190445485488823	0.714156371908315	0.245860636994855	Q9ULW3	Q9ULW3	ABT1_HUMAN	Activator of basal transcription 1
ACAA1	-0.41116650566239	0.276025534592048	-0.0675704855351711	0.833890217206117	0.694050646610675	P09110	P09110;C9JDE9;H7C131;H0Y4D4	THIK_HUMAN	"""3-ketoacyl-CoA thiolase, peroxisomal"""
ACAA2	-0.0404289282391981	0.811187956623588	0.385379514192195	0.534715474131433	0.0749952343830747	P42765	P42765;A0A0B4J2A4	THIM_HUMAN	"""3-ketoacyl-CoA thiolase, mitochondrial"""
ACACA	-0.486046050063962	0.222755077937648	-0.131645486063157	0.790734336148864	0.458447264011511	Q13085	Q13085;Q59FY4;A0A087WWN5	ACACA_HUMAN	Acetyl-CoA carboxylase 1
ACAD10	-1.30524046916873	0.355599498181939	-0.474820485493396	0.719398682972649	0.255709460385713	Q6JQN1	Q6JQN1;F8W1I9;D6RFF6	ACD10_HUMAN	Acyl-CoA dehydrogenase family member 10
ACAD11	-3.33258909853345	3.2393030278403	-0.0466430353465732	0.865226464724398	0.977329550366209	Q709F0	Q709F0	ACD11_HUMAN	Acyl-CoA dehydrogenase family member 11
ACAD8	-0.248299530473052	0.490108559238163	0.120904514382556	0.80305399044064	0.513079288407342	Q9UKU7	Q9UKU7	ACAD8_HUMAN	"""Isobutyryl-CoA dehydrogenase, mitochondrial"""
ACAD9	-0.502450803596298	0.221659832747912	-0.140395485424193	0.785886843326046	0.439073152182287	Q9H845	Q9H845;H0Y8Z9	ACAD9_HUMAN	"""Complex I assembly factor ACAD9, mitochondrial"""
ACADM	0.169395841685765	1.09311318715374	0.631254514419751	0.211172527669635	0.0084645362717092	P11310	P11310;E9PJM9;B7Z9I1;Q5T4U5	ACADM_HUMAN	"""Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"""
ACADS	7.58113206423241	16.3414709586368	11.9613015114346	0.0005566086353727	1.62960090829725e-06	P16219	P16219;E9PE82	ACADS_HUMAN	"""Short-chain specific acyl-CoA dehydrogenase, mitochondrial"""
ACADSB	-0.363404041888322	0.461263071121016	0.0489295146163471	0.84873163502793	0.812278065127602	P45954	P45954	ACDSB_HUMAN	"""Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"""
ACADVL	-0.682014029933926	0.0186730589140906	-0.331670485509918	0.506112157406941	0.0629621898363904	P49748	P49748	ACADV_HUMAN	"""Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"""
ACAP1	-5.03276726538309	3.85287629449407	-0.58994548544451	0.846217249261508	0.790447911836249	Q15027	Q15027	ACAP1_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1"""
ACAP2	-2.94287357720299	3.30148260612856	0.179304514462785	0.858828109741948	0.908474852788435	Q15057	Q15057;A0A087X1H5;A0A0U1RQT1	ACAP2_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"""
ACAP3	-3.1726306515171	2.67168968054019	-0.250470485488453	0.854322454077306	0.863777085192427	Q96P50	Q96P50	ACAP3_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3"""
ACAT1	-0.0769666382129471	0.886475667325153	0.404754514556103	0.577147420199234	0.0975489493499656	P24752	P24752;A0A5F9ZI66;A0A5F9ZHJ0;A0A5F9ZHD4	THIL_HUMAN	"""Acetyl-CoA acetyltransferase, mitochondrial"""
ACAT2	-0.287050810249911	0.708209839818354	0.210579514784222	0.774825901851428	0.398751918831011	Q9BWD1	Q9BWD1	THIC_HUMAN	"""Acetyl-CoA acetyltransferase, cytosolic"""
ACBD3	-0.363662831168915	0.132021860170381	-0.115820485499267	0.759929002006016	0.35180061273706	Q9H3P7	Q9H3P7	GCP60_HUMAN	Golgi resident protein GCP60
ACBD5	-0.329363441899782	0.71822247126634	0.194429514683279	0.790811578203471	0.458765075357699	Q5T8D3	Q5T8D3;Q5T8E0;B7Z2R7;X6RDD7	ACBD5_HUMAN	Acyl-CoA-binding domain-containing protein 5
ACBD6	-0.945662837880351	-0.0556781334389151	-0.500670485659633	0.376618787035682	0.0282833748271498	Q9BR61	Q9BR61;A0A2R8Y544	ACBD6_HUMAN	Acyl-CoA-binding domain-containing protein 6
ACD	-3.31982830173675	3.8730873305167	0.276629514389974	0.855752016018549	0.877637559880146	Q96AP0	Q96AP0;R4GNJ5;A0A590TQL1	ACD_HUMAN	Adrenocortical dysplasia protein homolog
ACE	-1.88370678054384	10.5151425413357	4.31571788039593	0.660512161695088	0.167846685058407	P12821	P12821;F6X3S4;J3KTB8;A0A0A0MSN4	ACE_HUMAN	Angiotensin-converting enzyme
ACHE	-0.836383735087863	0.836383735087862	-8.881784197001249e-16	0.867205531394704	0.999999999999998	P22303	P22303;C9J2S3;F8WAR7;F8WD68;C9JZL6	ACES_HUMAN	Acetylcholinesterase
ACIN1	0.173371280162361	0.957387748824938	0.56537951449365	0.168569785620153	0.0056558768920306	Q9UKV3	Q9UKV3;G3V3B0;E7EQT4;S4R3H4;G3V3T3	ACINU_HUMAN	Apoptotic chromatin condensation inducer in the nucleus
ACLY	-0.317911513024473	0.557370541765213	0.11972951437037	0.816749475939191	0.5845189027059	P53396	P53396	ACLY_HUMAN	ATP-citrate synthase
ACO1	-0.110985364174346	0.612094393054355	0.250554514440005	0.662142054799225	0.169725589014437	P21399	P21399	ACOC_HUMAN	Cytoplasmic aconitate hydratase
ACO2	-0.0466261246335218	0.628285153579173	0.290829514472826	0.563314837602509	0.089478767335563	Q99798	Q99798;A2A274	ACON_HUMAN	"""Aconitate hydratase, mitochondrial"""
ACOT1	-0.663199604674041	-0.123891366151874	-0.393545485412957	0.159676460466399	0.0051516257421799	Q86TX2	Q86TX2;P49753;A0A087WT95;A0A087X0W7;G3V4F2	ACOT1_HUMAN	Acyl-coenzyme A thioesterase 1
ACOT7	0.11571721891988	0.611291810524708	0.363504514722294	0.155862271099649	0.0049434012695193	O00154	O00154;K7EKP8	BACH_HUMAN	Cytosolic acyl coenzyme A thioester hydrolase
ACOT8	0.191271568739124	0.966837460084273	0.579054514411698	0.143083066993276	0.0042797954389282	O14734	O14734;Q9BR14;E9PJN0;E9PMC4;E9PIS4;H7C5A7;H0Y698	ACOT8_HUMAN	Acyl-coenzyme A thioesterase 8
ACOT9	-0.549008635741867	0.318417664734721	-0.115295485503573	0.818598816480128	0.595167114750233	Q9Y305	Q9Y305;H7C5Q2;C9J7L8	ACOT9_HUMAN	"""Acyl-coenzyme A thioesterase 9, mitochondrial"""
ACOX1	-0.717052407958948	1.34787694135644	0.315412266698747	0.808818236618064	0.541638029398243	Q15067	Q15067	ACOX1_HUMAN	Peroxisomal acyl-coenzyme A oxidase 1
ACOX3	-1.58421155914421	0.510820587751157	-0.536695485696526	0.743401283045986	0.307794076259007	O15254	O15254	ACOX3_HUMAN	Peroxisomal acyl-coenzyme A oxidase 3
ACP1	0.97970125674668	2.48390777243008	1.73180451458838	0.0056413047983032	2.95620452112754e-05	P24666	P24666;G5E9R5	PPAC_HUMAN	Low molecular weight phosphotyrosine protein phosphatase
ACP2	-0.99578892119092	-0.162952049707885	-0.579370485449402	0.196707969685068	0.0074341048031067	P11117	P11117;E9PQY3;E9PHY0;A0A5F9ZHR7;B7Z6U3;A0A5F9ZH40;A0A5F9ZH82;B7Z7D2;A0A5F9ZI20	PPAL_HUMAN	Lysosomal acid phosphatase
ACSF2	-0.272246508632629	0.85760553732194	0.292679514344655	0.741196302441983	0.302473118251421	Q96CM8	Q96CM8;E9PF16	ACSF2_HUMAN	"""Medium-chain acyl-CoA ligase ACSF2, mitochondrial"""
ACSF3	0.0088520956515755	0.682656933822856	0.345754514737216	0.449252243205599	0.0445079889421511	Q4G176	Q4G176;F5H5A1;A0A3B3ISK9;F5H362;F5H755	ACSF3_HUMAN	"""Malonate--CoA ligase ACSF3, mitochondrial"""
ACSL1	0.218233054723584	1.1558259744673	0.687029514595444	0.156606848134031	0.0049836760537939	P33121	P33121;E7EPM6;B7Z3Z9;D6RER0;H0Y9Z9	ACSL1_HUMAN	Long-chain-fatty-acid--CoA ligase 1
ACSL3	-0.167503192858131	0.69461222169934	0.263554514420605	0.701937089872616	0.224691468668847	O95573	O95573	ACSL3_HUMAN	Long-chain-fatty-acid--CoA ligase 3
ACSL4	-0.287883059130349	0.524842088310483	0.118479514590067	0.81234340131804	0.560158231706566	O60488	O60488;D6RF95	ACSL4_HUMAN	Long-chain-fatty-acid--CoA ligase 4
ACSL6	-2.84020312190289	2.84020312190289	-2.66453525910038e-15	0.867205531394704	0.999999999999998	Q9UKU0	Q9UKU0;A0A494C0B6;A0A494C116;A0A494C0J9;A0A499FJL5;A0A494BZW8;C9J3Z0;C9J8C7;A0A494C1I9;A0A494C0A5;A0A494C005;A0A494C046	ACSL6_HUMAN	Long-chain-fatty-acid--CoA ligase 6
ACSS2	17.0216293049075	20.4973350287077	18.7594821668076	1.17751939986856e-14	7.72220192773157e-26	Q9NR19	Q9NR19;F8WDJ9;B4DEH9;C9IYL0;C9J7L5;C9JXD9;F8WCJ4;C9JY31	ACSA_HUMAN	"""Acetyl-coenzyme A synthetase, cytoplasmic"""
ACSS3	-0.709930007514992	0.700689036677688	-0.004620485418652	0.866299389234109	0.989536207305738	Q9H6R3	Q9H6R3;A0A0B4J1R2	ACSS3_HUMAN	"""Acyl-CoA synthetase short-chain family member 3, mitochondrial"""
ACTA2	-0.432318106436815	0.637527134472255	0.10260451401772	0.834882734928031	0.701209119147223	P62736	P62736;P68032;P68133;P63267;A6NL76;F8WB63;C9JFL5;B8ZZJ2;F6UVQ4;F6QUT6	ACTA_HUMAN	"""Actin, aortic smooth muscle"""
ACTB	-5.46804265851237	6.64290168769673	0.587429514592181	0.852448736832477	0.846046287617626	A0A2R8Y793	A0A2R8Y793	A0A2R8Y793_HUMAN	"""Actin, cytoplasmic 1 (Fragment)"""
ACTB	0.220790516356707	0.831318512788365	0.526054514572536	0.0667139779302558	0.0011457514614377	P60709	P63261;P60709;I3L4N8;G5E9R0;I3L3R2;I3L1U9;E7EVS6;I3L3I0;J3KT65;A0A2R8Y793;A0A2R8YGF8	ACTB_HUMAN	"""Actin, cytoplasmic 1"""
ACTBL2	-0.115680206587116	1.06573923593979	0.475029514676336	0.599495285276317	0.112349818592441	Q562R1	Q562R1	ACTBL_HUMAN	Beta-actin-like protein 2
ACTG1	-0.0367528535234105	4.40066188215196	2.18195451431427	0.480166253951868	0.0537562606648961	K7EM38	K7EM38	K7EM38_HUMAN	"""Actin, cytoplasmic 2 (Fragment)"""
ACTG1	11.6959961680296	20.2484917700627	15.9722439690462	5.0746257438096e-07	1.5237057915929401e-09	P63261	P63261;I3L4N8;I3L3R2;I3L1U9;I3L3I0;K7EM38;J3KT65	ACTG_HUMAN	"""Actin, cytoplasmic 2"""
ACTL6A	0.0277142079566142	0.683194821010296	0.355454514483455	0.406498830302572	0.0341674382101572	O96019	O96019;H7C5S0	ACL6A_HUMAN	Actin-like protein 6A
ACTL6B	-0.387151969338813	0.387151969338813	0.0	0.867205531394704	1.0	O94805	O94805;C9JQT4	ACL6B_HUMAN	Actin-like protein 6B
ACTN1	-1.26697911439112	1.12188814320471	-0.0725454855932064	0.858314782717481	0.903230519033699	H9KV75	H9KV75	H9KV75_HUMAN	Alpha-actinin cytoskeletal isoform
ACTN1	-0.037144862996649	0.454103892131081	0.208479514567216	0.571713045342598	0.0942868013838355	P12814	P12814;H9KV75;G3V2N5;G3V2W4	ACTN1_HUMAN	Alpha-actinin-1
ACTN2	-3.86737237405983	3.07763140351545	-0.394870485272193	0.849596120666199	0.819969152181058	P35609	P35609;A0A494C1A0;F6THM6	ACTN2_HUMAN	Alpha-actinin-2
ACTN4	-0.630685983379654	-0.0815049877141076	-0.356095485546881	0.255312730907398	0.0121663264256178	H7C144	H7C144	H7C144_HUMAN	Alpha-actinin-4 (Fragment)
ACTN4	-0.125556221324685	0.768115249925336	0.321279514300326	0.648362409008824	0.154599166943095	K7EJH8	K7EJH8	K7EJH8_HUMAN	Alpha-actinin-4 (Fragment)
ACTN4	0.0920465624251315	0.481112466628631	0.286579514526881	0.152795016034248	0.0047793832546197	O43707	O43707;H7C144;F5GXS2	ACTN4_HUMAN	Alpha-actinin-4
ACTR10	-1.48557578352075	1.11383481219243	-0.185870485664157	0.844350867188952	0.774747626785559	Q9NZ32	Q9NZ32;V9GYX7;F6S9Y6;G3V2Q5;G3V5Y4	ARP10_HUMAN	Actin-related protein 10
ACTR1A	-0.0951628484017532	0.448171877342116	0.176504514470182	0.683915093125656	0.197445381524373	P61163	P61163;A0A1B0GVS3;R4GMT0	ACTZ_HUMAN	Alpha-centractin
ACTR1B	-1.7002350364669	0.10590571740568	-0.797164659530608	0.549636570022091	0.0822090937818413	P42025	P42025	ACTY_HUMAN	Beta-centractin
ACTR2	-0.520283298499542	0.716492327994125	0.0981045147472912	0.841419651072024	0.750920491362416	P61160	P61160;A0A1B0GWH0;A0A1B0GWD0	ARP2_HUMAN	Actin-related protein 2
ACTR3	0.0270909395335677	0.641068089447981	0.334079514490774	0.403782543823555	0.0335912648971673	P61158	P61158;B4DXW1	ARP3_HUMAN	Actin-related protein 3
ACTR3B	-3.80101164038739	5.50774988946995	0.853369124541278	0.836593359692795	0.713781116041598	Q9P1U1	Q9P1U1	ARP3B_HUMAN	Actin-related protein 3B
ACTR5	-1.1446537668837	1.71152493626709	0.283435584691695	0.833515844406422	0.691375971657737	Q9H9F9	Q9H9F9	ARP5_HUMAN	Actin-related protein 5
ACTR6	-2.99287909571095	2.99287909571095	-1.77635683940025e-15	0.867205531394704	0.999999999999999	Q9GZN1	Q9GZN1;F8W043;F8W0Q1;F8VRL1;F8W057;F8VP72	ARP6_HUMAN	Actin-related protein 6
ACTR8	-1.10126376854307	-0.168627202667133	-0.634945485605101	0.214281998143094	0.0086970785213981	Q9H981	Q9H981;H0Y849	ARP8_HUMAN	Actin-related protein 8
